CPU: ID 0x806d0, Processor Type 0x0, Family 0x6, Model 0x8d, Stepping 0x0
Northbridge: 8086:9a36 (11th generation (Tiger Lake H family) Core Processor (Mobile))
Southbridge: 8086:438b (HM570)
IGD: 8086:9a60 (Intel(R) UHD Graphics for 11th Gen Intel(R) Processors)
SBREG_BAR = 0xfd000000 (MEM)
0x08b0: 0x0000004344000300 GPP_B6       GPIO
0x08c0: 0x0000004444000300 GPP_B7       GPIO
0x08d0: 0x0000004584000201 GPP_B8       GPIO
0x08e0: 0x0000004644000300 GPP_B9       GPIO
0x08f0: 0x0000004744000300 GPP_B10      GPIO
0x0900: 0x0000004844000201 GPP_B11      GPIO
0x0910: 0x0000004984000102 GPP_B12      GPIO
0x0920: 0x0000004a44000300 GPP_B13      GPIO
0x0930: 0x0000004b44000300 GPP_B14      GPIO
0x0940: 0x0000004c44000300 GPP_B15      GPIO
0x0950: 0x0000004d44000300 GPP_B16      GPIO
0x0960: 0x0000004e44000300 GPP_B17      GPIO
0x0970: 0x0000004f44000300 GPP_B18      GPIO
0x0980: 0x0000005044000300 GPP_B19      GPIO
0x0990: 0x0000005144000700 GPP_B20      GSPI1_CLK
0x09a0: 0x0000005244000700 GPP_B21      GSPI1_MISO
0x09b0: 0x0000005344000600 GPP_B22      GSPI1_MOSI
0x09c0: 0x0000005484000201 GPP_B23      GPIO
0x09d0: 0x0000005584000201 GSPI0_CLK_LOOPBK GPIO
0x09e0: 0x0000005644000300 GSPI1_CLK_LOOPBK GPIO
------- GPIO Group VGPIO0 -------
0x09f0: 0x0000005784000201 VGPIO_USB_0  GPIO
0x0a00: 0x0000005844000700 VGPIO_USB_1  VGPIO_USB_1
0x0a10: 0x0000005944000700 VGPIO_USB_2  VGPIO_USB_2
0x0a20: 0x0000005a44000700 VGPIO_USB_3  VGPIO_USB_3
0x0a30: 0x0000005b44000600 VGPIO_USB_8  VGPIO_USB_8
0x0a40: 0x0000005c44000201 VGPIO_USB_9  GPIO
0x0a50: 0x0000000040000700 VGPIO_USB_10 VGPIO_USB_10
0x0a60: 0x0000000040000700 VGPIO_USB_11 VGPIO_USB_11
------- GPIO Community 1 -------

PCR Port ID: 0x6d0000

------- GPIO Group GPP_D -------
0x0600: 0x0000005d44000300 GPP_D0       GPIO
0x0610: 0x0000005e44000300 GPP_D1       GPIO
0x0620: 0x0000005f44000300 GPP_D2       GPIO
0x0630: 0x0000006044000300 GPP_D3       GPIO
0x0640: 0x0000006104000702 GPP_D4       SML1CLK
0x0650: 0x0000006244000b00 GPP_D5       CNV_RF_RESET#
0x0660: 0x0000006344000b00 GPP_D6       MODEM_CLKREQ
0x0670: 0x0000006444000300 GPP_D7       GPIO
0x0680: 0x0000006544000300 GPP_D8       GPIO
0x0690: 0x0000006644000702 GPP_D9       SML0CLK
0x06a0: 0x0000006744000702 GPP_D10      SML0DATA
0x06b0: 0x0000006884000201 GPP_D11      GPIO
0x06c0: 0x0000006984000201 GPP_D12      GPIO
0x06d0: 0x0000006a44000300 GPP_D13      GPIO
0x06e0: 0x0000006b44000300 GPP_D14      GPIO
0x06f0: 0x0000006c04000702 GPP_D15      SML1DATA
0x0700: 0x0000006d44000300 GPP_D16      GPIO
0x0710: 0x0000006e44000300 GPP_D17      GPIO
0x0720: 0x0000006f44000300 GPP_D18      GPIO
0x0730: 0x0000007044000300 GPP_D19      GPIO
0x0740: 0x0000007144000300 GPP_D20      GPIO
0x0750: 0x0000007244000300 GPP_D21      GPIO
0x0760: 0x0000007344000300 GPP_D22      GPIO
0x0770: 0x0000007444000300 GPP_D23      GPIO
0x0780: 0x0000000040000300 SPI1_CLK_LOOPBK GPIO
0x0790: 0x0000000040000300 GPI3_CLK_LOOPBK GPIO
------- GPIO Group GPP_C -------
0x07a0: 0x0000007544000702 GPP_C0       SMBCLK
0x07b0: 0x0000007644000702 GPP_C1       SMBDATA
0x07c0: 0x0000007784000201 GPP_C2       GPIO
0x07d0: 0x0000001844000f02 GPP_C3       I2C2_SDA
0x07e0: 0x0000001944000f02 GPP_C4       I2C2_SCL
0x07f0: 0x0000002044000200 GPP_C5       GPIO
0x0800: 0x0000002144000b00 GPP_C6       I2C3_SDA
0x0810: 0x0000002244000b00 GPP_C7       I2C3_SCL
0x0820: 0x0000002344000300 GPP_C8       GPIO
0x0830: 0x0000002444000300 GPP_C9       GPIO
0x0840: 0x0000002544000300 GPP_C10      GPIO
0x0850: 0x0000002644000300 GPP_C11      GPIO
0x0860: 0x0000002784000201 GPP_C12      GPIO
0x0870: 0x0000002884000201 GPP_C13      GPIO
0x0880: 0x0000002984000201 GPP_C14      GPIO
0x0890: 0x0000002a84000201 GPP_C15      GPIO
0x08a0: 0x0000002b44000700 GPP_C16      I2C0_SDA
0x08b0: 0x0000003044000700 GPP_C17      I2C0_SCL
0x08c0: 0x0000003144000700 GPP_C18      I2C1_SDA
0x08d0: 0x0000003244000700 GPP_C19      I2C1_SCL
0x08e0: 0x0000003344000300 GPP_C20      GPIO
0x08f0: 0x0000003444000300 GPP_C21      GPIO
0x0900: 0x0000003544000300 GPP_C22      GPIO
0x0910: 0x0000003644000300 GPP_C23      GPIO
------- GPIO Group GPP_S -------
0x0920: 0x0180003744000700 GPP_S0       SNDW1_CLK
0x0930: 0x0180003844000700 GPP_S1       SNDW1_DATA
0x0940: 0x0180003944000700 GPP_S2       SNDW2_CLK
0x0950: 0x0180003a44000700 GPP_S3       SNDW2_DATA
0x0960: 0x0180003b44000b00 GPP_S4       DMIC_CLKA1
0x0970: 0x0180003c44000b00 GPP_S5       DMIC_DATA1
0x0980: 0x0180003d44000b00 GPP_S6       DMIC_CLKA0
0x0990: 0x0180003e44000b00 GPP_S7       DMIC_DATA0
------- GPIO Group GPP_G -------
0x09a0: 0x0000003f44000300 GPP_G0       GPIO
0x09b0: 0x0000004044000200 GPP_G1       GPIO
0x09c0: 0x0000004184000200 GPP_G2       GPIO
0x09d0: 0x0000004284000201 GPP_G3       GPIO
0x09e0: 0x0000004384000201 GPP_G4       GPIO
0x09f0: 0x0000004444000700 GPP_G5       SLP_DRAM#
0x0a00: 0x0000004584000201 GPP_G6       GPIO
0x0a10: 0x0000004684000201 GPP_G7       GPIO
0x0a20: 0x00003c4744000b00 GPP_G8       DDP3_CTRLCLK
0x0a30: 0x00003c4844000b02 GPP_G9       DDP3_CTRLDATA
0x0a40: 0x00003c4944000b00 GPP_G10      DDP4_CTRLCLK
0x0a50: 0x00003c4a44000b02 GPP_G11      DDP4_CTRLDATA
0x0a60: 0x00003c4b44000700 GPP_G12      DDP1_CTRLCLK
0x0a70: 0x00003c4c44000702 GPP_G13      DDP1_CTRLDATA
0x0a80: 0x00003c4d44000700 GPP_G14      DDP2_CTRLCLK
0x0a90: 0x00003c4e44000702 GPP_G15      DDP2_CTRLDATA
------- GPIO Group VGPIO -------
0x0aa0: 0x0000000040000f00 VGPIO0       RESERVED
0x0ab0: 0x0000000040000200 VGPIO4       GPIO
0x0ac0: 0x0000004f44000102 VGPIO5       GPIO
0x0ad0: 0x0000000040000003 VGPIO6       GPIO
0x0ae0: 0x0000000040000402 VGPIO7       VGPIO7
0x0af0: 0x0000000040000400 VGPIO8       VGPIO8
0x0b00: 0x0000000040000400 VGPIO9       VGPIO9
0x0b10: 0x0000000040000402 VGPIO10      VGPIO10
0x0b20: 0x0000000040000402 VGPIO11      VGPIO11
0x0b30: 0x0000000040000400 VGPIO12      VGPIO12
0x0b40: 0x0000000040000400 VGPIO13      VGPIO13
0x0b50: 0x0000000040000402 VGPIO18      VGPIO18
0x0b60: 0x0000000040000402 VGPIO19      VGPIO19
0x0b70: 0x0000000040000400 VGPIO20      VGPIO20
0x0b80: 0x0000000040000400 VGPIO21      VGPIO21
0x0b90: 0x0000000040000402 VGPIO22      VGPIO22
0x0ba0: 0x0000000040000402 VGPIO23      VGPIO23
0x0bb0: 0x0000000040000400 VGPIO24      VGPIO24
0x0bc0: 0x0000000040000400 VGPIO25      VGPIO25
0x0bd0: 0x0000000040000402 VGPIO30      VGPIO30
0x0be0: 0x0000000040000400 VGPIO31      VGPIO31
0x0bf0: 0x0000000040000400 VGPIO32      VGPIO32
0x0c00: 0x0000000040000400 VGPIO33      VGPIO33
0x0c10: 0x0000000040000400 VGPIO34      VGPIO34
0x0c20: 0x0000000040000400 VGPIO35      VGPIO35
0x0c30: 0x0000000040000400 VGPIO36      VGPIO36
0x0c40: 0x0000000040000400 VGPIO37      VGPIO37
------- GPIO Community 2 -------

PCR Port ID: 0x6c0000

------- GPIO Group GPD -------
0x0600: 0x0000305004000702 GPD0         BATLOW#
0x0610: 0x00003c5104000702 GPD1         ACPRESENT
0x0620: 0x00003c5204000702 GPD2         LAN_WAKE#
0x0630: 0x0000305304000702 GPD3         PWRBTN#
0x0640: 0x0000005404000600 GPD4         SLP_S3#
0x0650: 0x0000005504000600 GPD5         SLP_S4#
0x0660: 0x0000005604000600 GPD6         SLP_A#
0x0670: 0x0000005704000200 GPD7         GPIO
0x0680: 0x0000005804000700 GPD8         SUSCLK
0x0690: 0x0000005904000600 GPD9         SLP_WLAN#
0x06a0: 0x0000005a04000600 GPD10        SLP_S5#
0x06b0: 0x0000005b04000600 GPD11        LANPHYPC
0x06c0: 0x0000005c04000300 GPD12        GPIO
0x06d0: 0x0000000000000700 SLP_LAN#     SLP_LAN#
0x06e0: 0x0000000000000700 SLP_SUS#     SLP_SUS#
0x06f0: 0x00003c0000000702 WAKE#        WAKE#
0x0700: 0x0000000000000700 DRAM_RESET#  DRAM_RESET#
------- GPIO Community 3 -------

PCR Port ID: 0x6b0000

------- GPIO Group GPP_E -------
0x0600: 0x0000005d44000702 GPP_E0       SATAXPCIE0
0x0610: 0x0000005e84000502 GPP_E1       SATAXPCIE1
0x0620: 0x0000005f84000201 GPP_E2       GPIO
0x0630: 0x0000006084000201 GPP_E3       GPIO
0x0640: 0x0000006184000201 GPP_E4       GPIO
0x0650: 0x0000006204000700 GPP_E5       SATA_DEVSLP1
0x0660: 0x0000006384000201 GPP_E6       GPIO
0x0670: 0x0000006444000300 GPP_E7       GPIO
0x0680: 0x0000006584000b00 GPP_E8       n/a
0x0690: 0x0000006644000702 GPP_E9       USB_OC0#
0x06a0: 0x0000006744000702 GPP_E10      USB_OC1#
0x06b0: 0x0000006844000702 GPP_E11      USB_OC2#
0x06c0: 0x0000006944000702 GPP_E12      USB_OC3#
------- GPIO Group GPP_F -------
0x06d0: 0x0000006a44000702 GPP_F0       SATAXPCIE3
0x06e0: 0x0000006b44000702 GPP_F1       SATAXPCIE4
0x06f0: 0x0000006c44000702 GPP_F2       SATAXPCIE5
0x0700: 0x0000006d84000200 GPP_F3       GPIO
0x0710: 0x0000006e84000201 GPP_F4       GPIO
0x0720: 0x0000006f84000201 GPP_F5       GPIO
0x0730: 0x0000007044000300 GPP_F6       GPIO
0x0740: 0x0000007184000201 GPP_F7       GPIO
0x0750: 0x0000007244000300 GPP_F8       GPIO
0x0760: 0x0000007384000201 GPP_F9       GPIO
0x0770: 0x0000007444000300 GPP_F10      GPIO
0x0780: 0x0000007584000201 GPP_F11      GPIO
0x0790: 0x0000007644000201 GPP_F12      GPIO
0x07a0: 0x0000007784000201 GPP_F13      GPIO
0x07b0: 0x0000001844000700 GPP_F14      PS_ON#
0x07c0: 0x0000001944000102 GPP_F15      GPIO
0x07d0: 0x0000002084000201 GPP_F16      GPIO
0x07e0: 0x0000002144000300 GPP_F17      GPIO
0x07f0: 0x0000002284000201 GPP_F18      GPIO
0x0800: 0x0000002344000700 GPP_F19      eDP_VDDEN
0x0810: 0x0000002444000700 GPP_F20      eDP_BKLTEN
0x0820: 0x0000002544000700 GPP_F21      eDP_BKLTCTL
0x0830: 0x0000002644000300 GPP_F22      GPIO
0x0840: 0x0000002784000201 GPP_F23      GPIO
------- GPIO Group VGPIO3 -------
0x0850: 0x0000000080000400 VGPIO_PCIE_0 VGPIO_PCIE_0
0x0860: 0x0000000080000400 VGPIO_PCIE_1 VGPIO_PCIE_1
0x0870: 0x0000000080000400 VGPIO_PCIE_2 VGPIO_PCIE_2
0x0880: 0x0000000080000400 VGPIO_PCIE_3 VGPIO_PCIE_3
0x0890: 0x0000000080000400 VGPIO_PCIE_4 VGPIO_PCIE_4
0x08a0: 0x0000000080000400 VGPIO_PCIE_5 VGPIO_PCIE_5
0x08b0: 0x0000000080000400 VGPIO_PCIE_6 VGPIO_PCIE_6
0x08c0: 0x0000000080000400 VGPIO_PCIE_7 VGPIO_PCIE_7
0x08d0: 0x0000000080000400 VGPIO_PCIE_8 VGPIO_PCIE_8
0x08e0: 0x0000000080000400 VGPIO_PCIE_9 VGPIO_PCIE_9
0x08f0: 0x0000000080000400 VGPIO_PCIE_10 VGPIO_PCIE_10
0x0900: 0x0000000080000400 VGPIO_PCIE_11 VGPIO_PCIE_11
0x0910: 0x0000000080000400 VGPIO_PCIE_12 VGPIO_PCIE_12
0x0920: 0x0000000080000400 VGPIO_PCIE_13 VGPIO_PCIE_13
0x0930: 0x0000000080000400 VGPIO_PCIE_14 VGPIO_PCIE_14
0x0940: 0x0000000080000400 VGPIO_PCIE_15 VGPIO_PCIE_15
0x0950: 0x0000000080000400 VGPIO_PCIE_16 VGPIO_PCIE_16
0x0960: 0x0000000080000400 VGPIO_PCIE_17 VGPIO_PCIE_17
0x0970: 0x0000000080000400 VGPIO_PCIE_18 VGPIO_PCIE_18
0x0980: 0x0000000080000400 VGPIO_PCIE_19 VGPIO_PCIE_19
0x0990: 0x0000000080000400 VGPIO_PCIE_20 VGPIO_PCIE_20
0x09a0: 0x0000000080000400 VGPIO_PCIE_21 VGPIO_PCIE_21
0x09b0: 0x0000000080000400 VGPIO_PCIE_22 VGPIO_PCIE_22
0x09c0: 0x0000000080000400 VGPIO_PCIE_23 VGPIO_PCIE_23
0x09d0: 0x0000000080000400 VGPIO_PCIE_24 VGPIO_PCIE_24
0x09e0: 0x0000000080000400 VGPIO_PCIE_25 VGPIO_PCIE_25
0x09f0: 0x0000000080000400 VGPIO_PCIE_26 VGPIO_PCIE_26
0x0a00: 0x0000000080000400 VGPIO_PCIE_27 VGPIO_PCIE_27
0x0a10: 0x0000000080000400 VGPIO_PCIE_28 VGPIO_PCIE_28
0x0a20: 0x0000000080000400 VGPIO_PCIE_29 VGPIO_PCIE_29
0x0a30: 0x0000000080000400 VGPIO_PCIE_30 VGPIO_PCIE_30
0x0a40: 0x0000000080000400 VGPIO_PCIE_31 VGPIO_PCIE_31
0x0a50: 0x0000000080000400 VGPIO_PCIE_32 VGPIO_PCIE_32
0x0a60: 0x0000000080000400 VGPIO_PCIE_33 VGPIO_PCIE_33
0x0a70: 0x0000000080000400 VGPIO_PCIE_34 VGPIO_PCIE_34
0x0a80: 0x0000000080000400 VGPIO_PCIE_35 VGPIO_PCIE_35
0x0a90: 0x0000000080000400 VGPIO_PCIE_36 VGPIO_PCIE_36
0x0aa0: 0x0000000080000400 VGPIO_PCIE_37 VGPIO_PCIE_37
0x0ab0: 0x0000000080000400 VGPIO_PCIE_38 VGPIO_PCIE_38
0x0ac0: 0x0000000080000400 VGPIO_PCIE_39 VGPIO_PCIE_39
0x0ad0: 0x0000000080000400 VGPIO_PCIE_40 VGPIO_PCIE_40
0x0ae0: 0x0000000080000400 VGPIO_PCIE_41 VGPIO_PCIE_41
0x0af0: 0x0000000080000400 VGPIO_PCIE_42 VGPIO_PCIE_42
0x0b00: 0x0000000080000400 VGPIO_PCIE_43 VGPIO_PCIE_43
0x0b10: 0x0000000080000400 VGPIO_PCIE_44 VGPIO_PCIE_44
0x0b20: 0x0000000080000400 VGPIO_PCIE_45 VGPIO_PCIE_45
0x0b30: 0x0000000080000400 VGPIO_PCIE_46 VGPIO_PCIE_46
0x0b40: 0x0000000080000400 VGPIO_PCIE_47 VGPIO_PCIE_47
0x0b50: 0x0000000080000400 VGPIO_PCIE_48 VGPIO_PCIE_48
0x0b60: 0x0000000080000400 VGPIO_PCIE_49 VGPIO_PCIE_49
0x0b70: 0x0000000080000400 VGPIO_PCIE_50 VGPIO_PCIE_50
0x0b80: 0x0000000080000400 VGPIO_PCIE_51 VGPIO_PCIE_51
0x0b90: 0x0000000080000400 VGPIO_PCIE_52 VGPIO_PCIE_52
0x0ba0: 0x0000000080000400 VGPIO_PCIE_53 VGPIO_PCIE_53
0x0bb0: 0x0000000080000400 VGPIO_PCIE_54 VGPIO_PCIE_54
0x0bc0: 0x0000000080000400 VGPIO_PCIE_55 VGPIO_PCIE_55
0x0bd0: 0x0000000080000400 VGPIO_PCIE_56 VGPIO_PCIE_56
0x0be0: 0x0000000080000400 VGPIO_PCIE_57 VGPIO_PCIE_57
0x0bf0: 0x0000000080000400 VGPIO_PCIE_58 VGPIO_PCIE_58
0x0c00: 0x0000000080000400 VGPIO_PCIE_59 VGPIO_PCIE_59
0x0c10: 0x0000000080000400 VGPIO_PCIE_60 VGPIO_PCIE_60
0x0c20: 0x0000000080000400 VGPIO_PCIE_61 VGPIO_PCIE_61
0x0c30: 0x0000000080000400 VGPIO_PCIE_62 VGPIO_PCIE_62
0x0c40: 0x0000000080000400 VGPIO_PCIE_63 VGPIO_PCIE_63
0x0c50: 0x0000000080000400 VGPIO_PCIE_64 VGPIO_PCIE_64
0x0c60: 0x0000000080000400 VGPIO_PCIE_65 VGPIO_PCIE_65
0x0c70: 0x0000000080000400 VGPIO_PCIE_66 VGPIO_PCIE_66
0x0c80: 0x0000000080000400 VGPIO_PCIE_67 VGPIO_PCIE_67
0x0c90: 0x0000000080000400 VGPIO_PCIE_68 VGPIO_PCIE_68
0x0ca0: 0x0000000080000400 VGPIO_PCIE_69 VGPIO_PCIE_69
0x0cb0: 0x0000000080000400 VGPIO_PCIE_70 VGPIO_PCIE_70
0x0cc0: 0x0000000080000400 VGPIO_PCIE_71 VGPIO_PCIE_71
0x0cd0: 0x0000000080000400 VGPIO_PCIE_72 VGPIO_PCIE_72
0x0ce0: 0x0000000080000400 VGPIO_PCIE_73 VGPIO_PCIE_73
0x0cf0: 0x0000000080000402 VGPIO_PCIE_74 VGPIO_PCIE_74
0x0d00: 0x0000000080000400 VGPIO_PCIE_75 VGPIO_PCIE_75
0x0d10: 0x0000000080000400 VGPIO_PCIE_76 VGPIO_PCIE_76
0x0d20: 0x0000000080000400 VGPIO_PCIE_77 VGPIO_PCIE_77
0x0d30: 0x0000000080000402 VGPIO_PCIE_78 VGPIO_PCIE_78
0x0d40: 0x0000000080000400 VGPIO_PCIE_79 VGPIO_PCIE_79
0x0d50: 0x0000000040000400 VGPIO_PCIE_80 VGPIO_PCIE_80
0x0d60: 0x0000000040000400 VGPIO_PCIE_81 VGPIO_PCIE_81
0x0d70: 0x0000000040000400 VGPIO_PCIE_82 VGPIO_PCIE_82
0x0d80: 0x0000000040000400 VGPIO_PCIE_83 VGPIO_PCIE_83
------- GPIO Community 4 -------

PCR Port ID: 0x6a0000

------- GPIO Group GPP_H -------
0x0600: 0x0000002444000300 GPP_H0       GPIO
0x0610: 0x0000002544000300 GPP_H1       GPIO
0x0620: 0x0000002644000300 GPP_H2       GPIO
0x0630: 0x0000002744000300 GPP_H3       GPIO
0x0640: 0x0000002844000300 GPP_H4       GPIO
0x0650: 0x0000002944000300 GPP_H5       GPIO
0x0660: 0x0000002a84000201 GPP_H6       GPIO
0x0670: 0x0000002b84000201 GPP_H7       GPIO
0x0680: 0x0000003084000201 GPP_H8       GPIO
0x0690: 0x0000003184000201 GPP_H9       GPIO
0x06a0: 0x0000003284000201 GPP_H10      GPIO
0x06b0: 0x0000003344000300 GPP_H11      GPIO
0x06c0: 0x0000003484000201 GPP_H12      GPIO
0x06d0: 0x0000003584000201 GPP_H13      GPIO
0x06e0: 0x0000003684000200 GPP_H14      GPIO
0x06f0: 0x0000003784000201 GPP_H15      GPIO
0x0700: 0x0000003884000201 GPP_H16      GPIO
0x0710: 0x0000003984000201 GPP_H17      GPIO
0x0720: 0x0000003a84000200 GPP_H18      GPIO
0x0730: 0x0000003b44000300 GPP_H19      GPIO
0x0740: 0x0000003c44000300 GPP_H20      GPIO
0x0750: 0x0000003d44000300 GPP_H21      GPIO
0x0760: 0x0000003e44000300 GPP_H22      GPIO
0x0770: 0x0000003f84000201 GPP_H23      GPIO
------- GPIO Group GPP_J -------
0x0780: 0x0400004084000201 GPP_J0       GPIO
0x0790: 0x0400004144000700 GPP_J1       CPU_C10_GATE#
0x07a0: 0x0400004244000700 GPP_J2       CNV_BRI_DT
0x07b0: 0x0400304344000702 GPP_J3       CNV_BRI_RSP
0x07c0: 0x0400004444000700 GPP_J4       CNV_RGI_DT
0x07d0: 0x0400304544000702 GPP_J5       CNV_RGI_RSP
0x07e0: 0x0400004644000300 GPP_J6       GPIO
0x07f0: 0x0400004704000100 GPP_J7       GPIO
0x0800: 0x0400004884000201 GPP_J8       GPIO
0x0810: 0x0400004984000201 GPP_J9       GPIO
------- GPIO Group GPP_K -------
0x0820: 0x0000004a84000201 GPP_K0       GPIO
0x0830: 0x0000004b84000201 GPP_K1       GPIO
0x0840: 0x0000004c84000201 GPP_K2       GPIO
0x0850: 0x0000004d84000201 GPP_K3       GPIO
0x0860: 0x0000004e84000201 GPP_K4       GPIO
0x0870: 0x0000004f84000201 GPP_K5       GPIO
0x0880: 0x0000005044000700 GPP_K6       DDSP_HPDA
0x0890: 0x0000005144000700 GPP_K7       DDSP_HPDB
0x08a0: 0x0000005244000700 GPP_K8       CORE_VID0
0x08b0: 0x0000005344000700 GPP_K9       CORE_VID1
0x08c0: 0x0000005484000201 GPP_K10      GPIO
0x08d0: 0x0000005544000300 GPP_K11      GPIO
0x08e0: 0x0000000040000702 SYS_PWROK    SYS_PWROK
0x08f0: 0x0000000040000702 SYS_RESET#   SYS_RESET#
0x0900: 0x0000000040000700 MLK_RST#     MLK_RST#
------- GPIO Community 5 -------

PCR Port ID: 0x690000

------- GPIO Group GPP_I -------
0x0600: 0x0000005604000702 GPP_I0       PMCALERT#
0x0610: 0x0000005744000700 GPP_I1       DDSP_HPD1
0x0620: 0x0000005844000702 GPP_I2       DDSP_HPD2
0x0630: 0x0000005944000700 GPP_I3       DDSP_HPD3
0x0640: 0x0000005a44000700 GPP_I4       DDSP_HPD4
0x0650: 0x0000005b44000700 GPP_I5       DDPB_CTRLCLK
0x0660: 0x0000005c44000602 GPP_I6       DDPB_CTRLDATA
0x0670: 0x0000005d44000300 GPP_I7       GPIO
0x0680: 0x0000005e84000201 GPP_I8       GPIO
0x0690: 0x0000005f84000201 GPP_I9       GPIO
0x06a0: 0x0000006084000201 GPP_I10      GPIO
0x06b0: 0x0000006144000b02 GPP_I11      I2C4_SDA
0x06c0: 0x0000006244000b02 GPP_I12      I2C4_SCL
0x06d0: 0x0000006344000702 GPP_I13      USB_OC6#
0x06e0: 0x0000006444000b02 GPP_I14      I2C5_SCL
------- GPIO Group JTAG -------
0x06f0: 0x00003c0040000702 JTAG_TDO     JTAG_TDO
0x0700: 0x00003c0040000700 JTAGX        JTAGX
0x0710: 0x00003c0040000700 PRDY#        PRDY#
0x0720: 0x00003c0040000702 PREQ#        PREQ#
0x0730: 0x00003c0040000702 CPU_TRST#    CPU_TRST#
0x0740: 0x00003c0040000702 JTAG_TDI     JTAG_TDI
0x0750: 0x00003c0040000700 JTAG_TMS     JTAG_TMS
0x0760: 0x00003c0040000700 JTAG_TCK     JTAG_TCK
0x0770: 0x00003c0040000700 DBG_PMODE    DBG_PMODE
0x0780: 0x00003c0040000700 MLK          MLK
------- GPIO Group CPU -------
0x0790: 0x00003c0040000700 HDACPU_SDI   HDACPU_SDI
0x07a0: 0x0000000040000700 HDACPU_SDO   HDACPU_SDO
0x07b0: 0x0000000040000700 HDACPU_BCLK  HDACPU_BCLK
0x07c0: 0x0000000040000700 PM_SYNC      PM_SYNC
0x07d0: 0x0000000040000700 PECI         PECI
0x07e0: 0x0000000040000702 CPUPWRGD     CPUPWRGD
0x07f0: 0x0000000040000700 THRMTRIP#    THRMTRIP#
0x0800: 0x0000000040000700 PLTRST_CPU#  PLTRST_CPU#
0x0810: 0x0000100040000700 PM_DOWN      PM_DOWN
0x0820: 0x0000100040000700 TRIGGER_IN   TRIGGER_IN
0x0830: 0x0000000040000700 TRIGGER_OUT  TRIGGER_OUT
0x0840: 0x0000000040000700 CLKOUT_CPURTC CLKOUT_CPURTC
0x0850: 0x0000000040000700 VCCST_OVERRIDE VCCST_OVERRIDE
0x0860: 0x0000000000000000 C10_WAKE     GPIO
